TRAIT	FILE	ID	CHR	P0	P1	BLOCK	Z	P	RESID.Z	PIP	IN.CRED.SET
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.HPCAL4.wgt.RDat	HPCAL4	1	40100000	40100000	1:38731847..40200567	-1.15055	0.25	-1.86982106365584	0.000962712152344931	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Subcutaneous/GTEx.Adipose_Subcutaneous.ENSG00000168653.6.NDUFS5.wgt.RDat	NDUFS5	1	39500000	39500000	1:38731847..40200567	-0.083287	0.934	-0.0730264777060949	0.00099970789648243	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Visceral_Omentum/GTEx.Adipose_Visceral_Omentum.ENSG00000182109.3.RP11-69E11.4.wgt.RDat	RP11-69E11.4	1	4e+07	4e+07	1:38731847..40200567	-2.65771	0.007867	1.01034476307759	0.00240036923597262	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/NTR.BLOOD.RNAARR/NTR.KIAA0754.wgt.RDat	KIAA0754	1	39900000	39900000	1:38731847..40200567	-4.70545	2.53e-06	-2.69564654184078	0.00429536304873174	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/CMC.BRAIN.RNASEQ/CMC.PPIEL.wgt.RDat	PPIEL	1	4e+07	4e+07	1:38731847..40200567	-2.87428	0.00405	1.84147382899521	0.0190885417340102	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.PABPC4.wgt.RDat	PABPC4	1	4e+07	4e+07	1:38731847..40200567	6.24707	4.18e-10	3.35041507030324	0.0553235701059914	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/YFS.BLOOD.RNAARR/YFS.AKIRIN1.wgt.RDat	AKIRIN1	1	39500000	39500000	1:38731847..40200567	-2.30718	0.021	-3.89666790459652	0.191221750791688	TRUE
HDL	NULL	NULL.1:38731847..40200567	1	0	0	1:38731847..40200567	0	1	0	0.757853433607304	TRUE
HDL	INTERCEPT	INTERCEPT.1:229156248..230685255	1	0	0	1:229156248..230685255	-1.75563963732254	0.0791499596788429	0	0	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/YFS.BLOOD.RNAARR/YFS.URB2.wgt.RDat	URB2	1	2.3e+08	2.3e+08	1:229156248..230685255	-0.52887	0.597	-0.16689683442706	0.000219189003479244	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/YFS.BLOOD.RNAARR/YFS.TAF5L.wgt.RDat	TAF5L	1	2.3e+08	2.3e+08	1:229156248..230685255	-0.831	0.406	-0.517433355406578	0.00022373055821394	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Nerve_Tibial/GTEx.Nerve_Tibial.ENSG00000177614.5.PGBD5.wgt.RDat	PGBD5	1	2.3e+08	2.3e+08	1:229156248..230685255	0.6239	0.533	-0.415007186228942	0.000331463053958761	FALSE
HDL	NULL	NULL.1:229156248..230685255	1	0	0	1:229156248..230685255	0	1	0	0.00272518179345609	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Artery_Tibial/GTEx.Artery_Tibial.ENSG00000224407.1.RP5-956O18.3.wgt.RDat	RP5-956O18.3	1	2.3e+08	2.3e+08	1:229156248..230685255	-4.76517	1.89e-06	-4.01676143792882	0.00373431957358885	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Thyroid/GTEx.Thyroid.ENSG00000069248.9.NUP133.wgt.RDat	NUP133	1	2.3e+08	2.3e+08	1:229156248..230685255	-0.659762	0.509	-2.70153702838257	0.00835096289079854	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Cells_EBV-transformed_lymphocytes/GTEx.Cells_EBV-transformed_lymphocytes.ENSG00000135776.4.ABCB10.wgt.RDat	ABCB10	1	2.3e+08	2.3e+08	1:229156248..230685255	-0.5703	0.56847	-2.92300861889369	0.0179787723777917	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Visceral_Omentum/GTEx.Adipose_Visceral_Omentum.ENSG00000229367.1.HMGN2P19.wgt.RDat	HMGN2P19	1	2.3e+08	2.3e+08	1:229156248..230685255	0.24091	0.809628	3.19833945591121	0.0270080381076831	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.GALNT2.wgt.RDat	GALNT2	1	2.3e+08	2.3e+08	1:229156248..230685255	8.97294	2.89e-19	5.52296315037856	0.996130965491603	TRUE
HDL	INTERCEPT	INTERCEPT.6:33236497..35455756	6	0	0	6:33236497..35455756	-0.869916062888089	0.384346276578986	0	0	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Cells_Transformed_fibroblasts/GTEx.Cells_Transformed_fibroblasts.ENSG00000007866.14.TEAD3.wgt.RDat	TEAD3	6	35400000	35400000	6:33236497..35455756	-1.0122	0.311	-1.0595387441142	0.000214821712989678	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/YFS.BLOOD.RNAARR/YFS.NUDT3.wgt.RDat	NUDT3	6	34200000	34200000	6:33236497..35455756	-1.7761	0.0757	-1.92414127177968	0.000219325717992547	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.PPARD.wgt.RDat	PPARD	6	35300000	35300000	6:33236497..35455756	-1.39947	0.162	-1.25572740463373	0.000224652765920818	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/YFS.BLOOD.RNAARR/YFS.RPS10.wgt.RDat	RPS10	6	34400000	34400000	6:33236497..35455756	1.4105	0.158	2.19298533449929	0.000249772242321861	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Artery_Aorta/GTEx.Artery_Aorta.ENSG00000064999.12.ANKS1A.wgt.RDat	ANKS1A	6	34900000	34900000	6:33236497..35455756	3.08768	0.00202	2.68863903121097	0.000299660720260346	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/CMC.BRAIN.RNASEQ/CMC.PACSIN1.wgt.RDat	PACSIN1	6	34400000	34400000	6:33236497..35455756	-4.431104	9.38e-06	-3.81685717694738	0.000452852878709887	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.ZNF76.wgt.RDat	ZNF76	6	35200000	35200000	6:33236497..35455756	-0.560532	0.575	-1.33995476307435	0.000494320456791975	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.RPL10A.wgt.RDat	RPL10A	6	35400000	35400000	6:33236497..35455756	1.656974	0.0975	2.14341932475064	0.000496106582419276	FALSE
HDL	NULL	NULL.6:33236497..35455756	6	0	0	6:33236497..35455756	0	1	0	0.000504177297589493	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.SNRPC.wgt.RDat	SNRPC	6	34700000	34700000	6:33236497..35455756	3.229647	0.00124	2.08192288081042	0.00075769529934468	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.UHRF1BP1.wgt.RDat	UHRF1BP1	6	34800000	34800000	6:33236497..35455756	-4.235618	2.28e-05	-3.10048955550174	0.00157984421961919	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/NTR.BLOOD.RNAARR/NTR.DEF6.wgt.RDat	DEF6	6	35300000	35300000	6:33236497..35455756	-1.56589	0.117	-2.33424330483475	0.00172798335573577	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/CMC.BRAIN.RNASEQ/CMC.FANCE.wgt.RDat	FANCE	6	35400000	35400000	6:33236497..35455756	2.67154	0.00755	3.62411809518931	0.00187121387949402	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.TAF11.wgt.RDat	TAF11	6	34800000	34800000	6:33236497..35455756	-0.666121	0.505	-0.496207203116212	0.0120558858650832	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.C6orf106.wgt.RDat	C6orf106	6	34600000	34600000	6:33236497..35455756	-5.781828	7.39e-09	-5.81746131568846	0.998874500059101	TRUE
HDL	INTERCEPT	INTERCEPT.7:71874885..73334602	7	0	0	7:71874885..73334602	2.9119671373568	0.00359160419675052	0	0	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Subcutaneous/GTEx.Adipose_Subcutaneous.ENSG00000165171.6.WBSCR27.wgt.RDat	WBSCR27	7	73200000	73200000	7:71874885..73334602	1.648362	0.0993	-0.224209142520057	0.000182002147618135	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.CLDN4.wgt.RDat	CLDN4	7	73200000	73200000	7:71874885..73334602	1.64505	0.1	-0.266592120453484	0.000183703498514623	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Visceral_Omentum/GTEx.Adipose_Visceral_Omentum.ENSG00000205578.4.POM121B.wgt.RDat	POM121B	7	72700000	72700000	7:71874885..73334602	-0.00439	0.996	0.286426105664472	0.00019513045100324	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.TBL2.wgt.RDat	TBL2	7	7.3e+07	7.3e+07	7:71874885..73334602	-0.06923	0.945	0.383386971583853	0.000216900446337912	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Skin_Sun_Exposed_Lower_leg/GTEx.Skin_Sun_Exposed_Lower_leg.ENSG00000106089.7.STX1A.wgt.RDat	STX1A	7	73100000	73100000	7:71874885..73334602	0.6842	0.494	0.752318728592617	0.00022743298316409	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.ABHD11.wgt.RDat	ABHD11	7	73200000	73200000	7:71874885..73334602	-2.46141	0.0138	-0.801957663743834	0.000252093161516118	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Testis/GTEx.Testis.ENSG00000225648.1.SBDSP1.wgt.RDat	SBDSP1	7	72300000	72300000	7:71874885..73334602	1.06665	0.286	-0.648073860847888	0.000304314384122702	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/YFS.BLOOD.RNAARR/YFS.WBSCR22.wgt.RDat	WBSCR22	7	73100000	73100000	7:71874885..73334602	-0.2345	0.815	-0.46873077481375	0.000307808922615216	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.POM121.wgt.RDat	POM121	7	72300000	72300000	7:71874885..73334602	1.43219	0.152	-0.486434221464491	0.000361848683044601	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Esophagus_Muscularis/GTEx.Esophagus_Muscularis.ENSG00000174353.13.STAG3L3.wgt.RDat	STAG3L3	7	72500000	72500000	7:71874885..73334602	-0.21342	0.831	0.915481473595697	0.00037585826385841	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Subcutaneous/GTEx.Adipose_Subcutaneous.ENSG00000176428.5.VPS37D.wgt.RDat	VPS37D	7	73100000	73100000	7:71874885..73334602	-0.548152	0.584	-0.858989144368536	0.000408710846593031	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/CMC.BRAIN.RNASEQ/CMC.DNAJC30.wgt.RDat	DNAJC30	7	73100000	73100000	7:71874885..73334602	1.29668	0.195	1.46740099595481	0.000412951615979569	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Colon_Transverse/GTEx.Colon_Transverse.ENSG00000106133.13.NSUN5P2.wgt.RDat	NSUN5P2	7	72400000	72400000	7:71874885..73334602	1.44723	0.148	1.5167059636648	0.00059266364606191	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Thyroid/GTEx.Thyroid.ENSG00000009954.6.BAZ1B.wgt.RDat	BAZ1B	7	72900000	72900000	7:71874885..73334602	1.02654	0.305	1.61308099659206	0.000626565397429431	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.TRIM50.wgt.RDat	TRIM50	7	72700000	72700000	7:71874885..73334602	-0.50758	0.612	-2.45101721820165	0.00270284983633767	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Subcutaneous/GTEx.Adipose_Subcutaneous.ENSG00000254184.3.TYW1B.wgt.RDat	TYW1B	7	7.2e+07	7.2e+07	7:71874885..73334602	-1.402921	0.161	-2.38979150268966	0.00337457558820928	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Spleen/GTEx.Spleen.ENSG00000182487.8.NCF1B.wgt.RDat	NCF1B	7	72600000	72600000	7:71874885..73334602	-3.8221	0.000132	-2.83161701250293	0.0062218816864362	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Subcutaneous/GTEx.Adipose_Subcutaneous.ENSG00000106635.3.BCL7B.wgt.RDat	BCL7B	7	7.3e+07	7.3e+07	7:71874885..73334602	1.825067	0.068	2.19884129539564	0.00641378683700455	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Visceral_Omentum/GTEx.Adipose_Visceral_Omentum.ENSG00000130305.12.NSUN5.wgt.RDat	NSUN5	7	72700000	72700000	7:71874885..73334602	4.84244	1.28e-06	3.5652912669942	0.0567539609859904	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.MLXIPL.wgt.RDat	MLXIPL	7	7.3e+07	7.3e+07	7:71874885..73334602	5.18458	2.17e-07	3.8050373073968	0.137506890495794	TRUE
HDL	NULL	NULL.7:71874885..73334602	7	0	0	7:71874885..73334602	0	1	0	0.791394604751626	TRUE
HDL	INTERCEPT	INTERCEPT.7:130422414..132805848	7	0	0	7:130422414..132805848	-0.938060380955357	0.348213380801908	0	0	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Thyroid/GTEx.Thyroid.ENSG00000128585.13.MKLN1.wgt.RDat	MKLN1	7	1.31e+08	1.31e+08	7:130422414..132805848	-0.60511	0.545	0.443823409280749	0.000235017539770781	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Thyroid/GTEx.Thyroid.ENSG00000273489.1.RP11-180C16.1.wgt.RDat	RP11-180C16.1	7	1.31e+08	1.31e+08	7:130422414..132805848	1.48268	0.138	1.14206755698937	0.000271958297372628	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.MIR29B1.wgt.RDat	MIR29B1	7	1.31e+08	1.31e+08	7:130422414..132805848	1.69781	0.0895	1.38837124128363	0.000273441756951682	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Subcutaneous/GTEx.Adipose_Subcutaneous.ENSG00000236753.1.MKLN1-AS2.wgt.RDat	MKLN1-AS2	7	1.31e+08	1.31e+08	7:130422414..132805848	-0.079665	0.937	0.170917235694733	0.000277846266990486	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Esophagus_Gastroesophageal_Junction/GTEx.Esophagus_Gastroesophageal_Junction.ENSG00000221866.5.PLXNA4.wgt.RDat	PLXNA4	7	1.32e+08	1.32e+08	7:130422414..132805848	-0.88178	0.378	0.965781547723908	0.000307512962176614	FALSE
HDL	NULL	NULL.7:130422414..132805848	7	0	0	7:130422414..132805848	0	1	0	0.0766317901426133	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.RP11-138A9.1.wgt.RDat	RP11-138A9.1	7	1.31e+08	1.31e+08	7:130422414..132805848	5.13682	2.79e-07	4.83173440148978	0.923272214341974	TRUE
HDL	INTERCEPT	INTERCEPT.8:19492840..20060856	8	0	0	8:19492840..20060856	2.17852658470353	0.0293668552248764	0	0	FALSE
HDL	NULL	NULL.8:19492840..20060856	8	0	0	8:19492840..20060856	0	1	0	1.24325772559673e-08	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/YFS.BLOOD.RNAARR/YFS.LPL.wgt.RDat	LPL	8	19800000	19800000	8:19492840..20060856	18.77284	1.26e-78	4.41364068094914	0.997778506020108	TRUE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.INTS10.wgt.RDat	INTS10	8	19700000	19700000	8:19492840..20060856	3.02399	0.00249	-6.59124355877667	0.999999966077006	TRUE
HDL	INTERCEPT	INTERCEPT.11:58780549..62223771	11	0	0	11:58780549..62223771	-2.91095948157631	0.0036032074042119	0	0	FALSE
HDL	NULL	NULL.11:58780549..62223771	11	0	0	11:58780549..62223771	0	1	0	4.79889939816756e-10	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/YFS.BLOOD.RNAARR/YFS.AHNAK.wgt.RDat	AHNAK	11	62200000	62200000	11:58780549..62223771	0.0903	0.928	-0.644898661233585	0.00016039861270554	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Esophagus_Muscularis/GTEx.Esophagus_Muscularis.ENSG00000013725.10.CD6.wgt.RDat	CD6	11	60700000	60700000	11:58780549..62223771	-0.432368	0.665	0.28911015167245	0.000161900003379036	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.MYRF.wgt.RDat	MYRF	11	61500000	61500000	11:58780549..62223771	-2.205	0.0275	-2.07654166686456	0.00016563443872569	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Colon_Transverse/GTEx.Colon_Transverse.ENSG00000255118.1.RP11-703H8.7.wgt.RDat	RP11-703H8.7	11	62100000	62100000	11:58780549..62223771	0.0756	0.94	0.544100267694433	0.000168963010547036	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Esophagus_Mucosa/GTEx.Esophagus_Mucosa.ENSG00000256813.1.RP11-804A23.4.wgt.RDat	RP11-804A23.4	11	60600000	60600000	11:58780549..62223771	-0.03633	0.971	0.880090012880789	0.00018645749593735	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Testis/GTEx.Testis.ENSG00000255126.1.CTD-2531D15.5.wgt.RDat	CTD-2531D15.5	11	62200000	62200000	11:58780549..62223771	0.3276	0.743	0.682509659060865	0.000188108822456048	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Subcutaneous/GTEx.Adipose_Subcutaneous.ENSG00000167987.6.VPS37C.wgt.RDat	VPS37C	11	60900000	60900000	11:58780549..62223771	-0.4823	0.63	-0.775465984209474	0.000191718158273988	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.DDB1.wgt.RDat	DDB1	11	61100000	61100000	11:58780549..62223771	-0.15462	0.877	0.356118224274137	0.00020062775761491	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Subcutaneous/GTEx.Adipose_Subcutaneous.ENSG00000166927.8.MS4A7.wgt.RDat	MS4A7	11	60200000	60200000	11:58780549..62223771	-0.0455	0.964	-1.29744063066469	0.000208542711152366	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.FADS2.wgt.RDat	FADS2	11	61600000	61600000	11:58780549..62223771	-3.86224	0.000112	-3.46077381307147	0.000228789396601212	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/NTR.BLOOD.RNAARR/NTR.ASRGL1.wgt.RDat	ASRGL1	11	62100000	62100000	11:58780549..62223771	0.30839	0.758	0.978499423691359	0.000238448911868831	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.INCENP.wgt.RDat	INCENP	11	61900000	61900000	11:58780549..62223771	-0.98536	0.324	0.104053878280455	0.000246651992206748	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Uterus/GTEx.Uterus.ENSG00000162148.6.PPP1R32.wgt.RDat	PPP1R32	11	61200000	61200000	11:58780549..62223771	-5.7178	1.08e-08	-5.00961374805863	0.000246953836039522	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/YFS.BLOOD.RNAARR/YFS.SLC15A3.wgt.RDat	SLC15A3	11	60700000	60700000	11:58780549..62223771	-1.08982	0.276	-0.675539463758639	0.000249489041790709	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Nerve_Tibial/GTEx.Nerve_Tibial.ENSG00000134780.5.DAGLA.wgt.RDat	DAGLA	11	61400000	61400000	11:58780549..62223771	-1.174372	0.24	-1.14674727710639	0.000252456157707785	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/CMC.BRAIN.RNASEQ/CMC.TMEM132A.wgt.RDat	TMEM132A	11	60700000	60700000	11:58780549..62223771	0.36249	0.717	0.85197733567386	0.000252483011155156	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.AP003733.1.wgt.RDat	AP003733.1	11	61700000	61700000	11:58780549..62223771	-1.53221	0.125	-0.670657424647944	0.000257729596870885	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/YFS.BLOOD.RNAARR/YFS.CCDC86.wgt.RDat	CCDC86	11	60600000	60600000	11:58780549..62223771	-0.21461	0.83	-0.900628317988215	0.000282288417185804	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.TMEM109.wgt.RDat	TMEM109	11	60700000	60700000	11:58780549..62223771	0.95859	0.338	0.368941944238644	0.00028953443275067	FALSE
HDL	/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.BEST1.wgt.RDat	BEST1	11	61700000	61700000	11:58780549..62223771	-0.01764	0.986	0.960104876149435	0.000292369278011508	FALSE
