FILE	ID	CHR	P0	P1	BLOCK	Z	P	RESID.Z	PIP	IN.CRED.SET	TRAIT
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.HPCAL4.wgt.RDat	HPCAL4	1	40100000	40100000	1:38731847..40200567	-1.15055	0.25	-1.87009264415336	0.00073489567825925	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Subcutaneous/GTEx.Adipose_Subcutaneous.ENSG00000168653.6.NDUFS5.wgt.RDat	NDUFS5	1	39500000	39500000	1:38731847..40200567	-0.083287	0.934	-0.0723195075818857	0.00100284122974435	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Visceral_Omentum/GTEx.Adipose_Visceral_Omentum.ENSG00000182109.3.RP11-69E11.4.wgt.RDat	RP11-69E11.4	1	4e+07	4e+07	1:38731847..40200567	-2.65771	0.007867	1.01023810101642	0.0032697983902321	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/NTR.BLOOD.RNAARR/NTR.KIAA0754.wgt.RDat	KIAA0754	1	39900000	39900000	1:38731847..40200567	-4.70545	2.53e-06	-2.69511020373284	0.00340423003912244	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/CMC.BRAIN.RNASEQ/CMC.PPIEL.wgt.RDat	PPIEL	1	4e+07	4e+07	1:38731847..40200567	-2.87428	0.00405	1.84198984111322	0.0281355352802835	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.PABPC4.wgt.RDat	PABPC4	1	4e+07	4e+07	1:38731847..40200567	6.24707	4.18e-10	3.35042220381978	0.0604396597371189	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/YFS.BLOOD.RNAARR/YFS.AKIRIN1.wgt.RDat	AKIRIN1	1	39500000	39500000	1:38731847..40200567	-2.30718	0.021	-3.89567526155156	0.169292358761131	TRUE	HDL
NULL	NULL.1:38731847..40200567	1	0	0	1:38731847..40200567	0	1	0	0.776796008001641	TRUE	HDL
INTERCEPT	INTERCEPT.1:229156248..230685255	1	0	0	1:229156248..230685255	-1.7558578330004	0.0791126864961274	0	0	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/YFS.BLOOD.RNAARR/YFS.URB2.wgt.RDat	URB2	1	2.3e+08	2.3e+08	1:229156248..230685255	-0.52887	0.597	-0.167422549558601	0.00018704717807735	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/YFS.BLOOD.RNAARR/YFS.TAF5L.wgt.RDat	TAF5L	1	2.3e+08	2.3e+08	1:229156248..230685255	-0.831	0.406	-0.51596656618511	0.000191678740564298	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Nerve_Tibial/GTEx.Nerve_Tibial.ENSG00000177614.5.PGBD5.wgt.RDat	PGBD5	1	2.3e+08	2.3e+08	1:229156248..230685255	0.6239	0.533	-0.4167890071979	0.00029508506866555	FALSE	HDL
NULL	NULL.1:229156248..230685255	1	0	0	1:229156248..230685255	0	1	0	0.00243112241500691	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Artery_Tibial/GTEx.Artery_Tibial.ENSG00000224407.1.RP5-956O18.3.wgt.RDat	RP5-956O18.3	1	2.3e+08	2.3e+08	1:229156248..230685255	-4.76517	1.89e-06	-4.01683880493045	0.00298691189512652	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Thyroid/GTEx.Thyroid.ENSG00000069248.9.NUP133.wgt.RDat	NUP133	1	2.3e+08	2.3e+08	1:229156248..230685255	-0.659762	0.509	-2.70168763277408	0.00842720224346161	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Cells_EBV-transformed_lymphocytes/GTEx.Cells_EBV-transformed_lymphocytes.ENSG00000135776.4.ABCB10.wgt.RDat	ABCB10	1	2.3e+08	2.3e+08	1:229156248..230685255	-0.5703	0.56847	-2.92254955194572	0.0183136020880131	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Visceral_Omentum/GTEx.Adipose_Visceral_Omentum.ENSG00000229367.1.HMGN2P19.wgt.RDat	HMGN2P19	1	2.3e+08	2.3e+08	1:229156248..230685255	0.24091	0.809628	3.19835875592846	0.0279018703577371	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.GALNT2.wgt.RDat	GALNT2	1	2.3e+08	2.3e+08	1:229156248..230685255	8.97294	2.89e-19	5.52254869001335	0.996676228390139	TRUE	HDL
INTERCEPT	INTERCEPT.6:33236497..35455756	6	0	0	6:33236497..35455756	-0.869963023533643	0.384320611759431	0	0	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Cells_Transformed_fibroblasts/GTEx.Cells_Transformed_fibroblasts.ENSG00000007866.14.TEAD3.wgt.RDat	TEAD3	6	35400000	35400000	6:33236497..35455756	-1.0122	0.311	-1.05946657582719	0.000186593827751883	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/YFS.BLOOD.RNAARR/YFS.NUDT3.wgt.RDat	NUDT3	6	34200000	34200000	6:33236497..35455756	-1.7761	0.0757	-1.9242243661953	0.000191813318743882	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.PPARD.wgt.RDat	PPARD	6	35300000	35300000	6:33236497..35455756	-1.39947	0.162	-1.25566714416087	0.000194636828473551	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/YFS.BLOOD.RNAARR/YFS.RPS10.wgt.RDat	RPS10	6	34400000	34400000	6:33236497..35455756	1.4105	0.158	2.19300834840387	0.00021341278932364	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Artery_Aorta/GTEx.Artery_Aorta.ENSG00000064999.12.ANKS1A.wgt.RDat	ANKS1A	6	34900000	34900000	6:33236497..35455756	3.08768	0.00202	2.6884905358426	0.000252070397811602	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/CMC.BRAIN.RNASEQ/CMC.PACSIN1.wgt.RDat	PACSIN1	6	34400000	34400000	6:33236497..35455756	-4.431104	9.38e-06	-3.81683758759491	0.000372823470232671	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.RPL10A.wgt.RDat	RPL10A	6	35400000	35400000	6:33236497..35455756	1.656974	0.0975	2.14340381649163	0.000434149441067837	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.ZNF76.wgt.RDat	ZNF76	6	35200000	35200000	6:33236497..35455756	-0.560532	0.575	-1.33997573465285	0.000442023932918893	FALSE	HDL
NULL	NULL.6:33236497..35455756	6	0	0	6:33236497..35455756	0	1	0	0.000484313243531097	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.SNRPC.wgt.RDat	SNRPC	6	34700000	34700000	6:33236497..35455756	3.229647	0.00124	2.0818603550851	0.000679911415333851	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.UHRF1BP1.wgt.RDat	UHRF1BP1	6	34800000	34800000	6:33236497..35455756	-4.235618	2.28e-05	-3.10042682371157	0.00152829731402328	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/NTR.BLOOD.RNAARR/NTR.DEF6.wgt.RDat	DEF6	6	35300000	35300000	6:33236497..35455756	-1.56589	0.117	-2.33430020131937	0.00158478359846154	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/CMC.BRAIN.RNASEQ/CMC.FANCE.wgt.RDat	FANCE	6	35400000	35400000	6:33236497..35455756	2.67154	0.00755	3.62412470236386	0.00175765198795037	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.TAF11.wgt.RDat	TAF11	6	34800000	34800000	6:33236497..35455756	-0.666121	0.505	-0.496181172790988	0.016075507867815	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.C6orf106.wgt.RDat	C6orf106	6	34600000	34600000	6:33236497..35455756	-5.781828	7.39e-09	-5.81751063523823	0.998803053420833	TRUE	HDL
INTERCEPT	INTERCEPT.7:71874885..73334602	7	0	0	7:71874885..73334602	2.91181802761635	0.00359331905769653	0	0	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Subcutaneous/GTEx.Adipose_Subcutaneous.ENSG00000165171.6.WBSCR27.wgt.RDat	WBSCR27	7	73200000	73200000	7:71874885..73334602	1.648362	0.0993	-0.224242832606431	0.000131855270560712	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.CLDN4.wgt.RDat	CLDN4	7	73200000	73200000	7:71874885..73334602	1.64505	0.1	-0.266639996523383	0.000133420460632539	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Visceral_Omentum/GTEx.Adipose_Visceral_Omentum.ENSG00000205578.4.POM121B.wgt.RDat	POM121B	7	72700000	72700000	7:71874885..73334602	-0.00439	0.996	0.286981449073781	0.000142201707393905	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.TBL2.wgt.RDat	TBL2	7	7.3e+07	7.3e+07	7:71874885..73334602	-0.06923	0.945	0.383668836311569	0.000159850737986538	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Skin_Sun_Exposed_Lower_leg/GTEx.Skin_Sun_Exposed_Lower_leg.ENSG00000106089.7.STX1A.wgt.RDat	STX1A	7	73100000	73100000	7:71874885..73334602	0.6842	0.494	0.752936497313144	0.000165970335229166	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Testis/GTEx.Testis.ENSG00000225648.1.SBDSP1.wgt.RDat	SBDSP1	7	72300000	72300000	7:71874885..73334602	1.06665	0.286	-0.648270307992925	0.000232344731431349	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.ABHD11.wgt.RDat	ABHD11	7	73200000	73200000	7:71874885..73334602	-2.46141	0.0138	-0.801921396573449	0.000234402251618981	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/YFS.BLOOD.RNAARR/YFS.WBSCR22.wgt.RDat	WBSCR22	7	73100000	73100000	7:71874885..73334602	-0.2345	0.815	-0.468372070557056	0.000234872987574187	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.POM121.wgt.RDat	POM121	7	72300000	72300000	7:71874885..73334602	1.43219	0.152	-0.486310358667037	0.000283422181783727	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Esophagus_Muscularis/GTEx.Esophagus_Muscularis.ENSG00000174353.13.STAG3L3.wgt.RDat	STAG3L3	7	72500000	72500000	7:71874885..73334602	-0.21342	0.831	0.915410383838408	0.000284148167323375	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/CMC.BRAIN.RNASEQ/CMC.DNAJC30.wgt.RDat	DNAJC30	7	73100000	73100000	7:71874885..73334602	1.29668	0.195	1.4673643309504	0.000309191670821637	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Subcutaneous/GTEx.Adipose_Subcutaneous.ENSG00000176428.5.VPS37D.wgt.RDat	VPS37D	7	73100000	73100000	7:71874885..73334602	-0.548152	0.584	-0.85857509472264	0.000316837733058262	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Colon_Transverse/GTEx.Colon_Transverse.ENSG00000106133.13.NSUN5P2.wgt.RDat	NSUN5P2	7	72400000	72400000	7:71874885..73334602	1.44723	0.148	1.51632459391906	0.000449532290788209	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Thyroid/GTEx.Thyroid.ENSG00000009954.6.BAZ1B.wgt.RDat	BAZ1B	7	72900000	72900000	7:71874885..73334602	1.02654	0.305	1.61316777794329	0.000578721758302608	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.TRIM50.wgt.RDat	TRIM50	7	72700000	72700000	7:71874885..73334602	-0.50758	0.612	-2.45094290027078	0.00214689418702938	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Subcutaneous/GTEx.Adipose_Subcutaneous.ENSG00000254184.3.TYW1B.wgt.RDat	TYW1B	7	7.2e+07	7.2e+07	7:71874885..73334602	-1.402921	0.161	-2.38956969024714	0.00272207115488899	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Spleen/GTEx.Spleen.ENSG00000182487.8.NCF1B.wgt.RDat	NCF1B	7	72600000	72600000	7:71874885..73334602	-3.8221	0.000132	-2.83195165884638	0.00515530032343071	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Subcutaneous/GTEx.Adipose_Subcutaneous.ENSG00000106635.3.BCL7B.wgt.RDat	BCL7B	7	7.3e+07	7.3e+07	7:71874885..73334602	1.825067	0.068	2.19859017421451	0.00611231467386578	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Visceral_Omentum/GTEx.Adipose_Visceral_Omentum.ENSG00000130305.12.NSUN5.wgt.RDat	NSUN5	7	72700000	72700000	7:71874885..73334602	4.84244	1.28e-06	3.5655976615923	0.0494387455386634	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.MLXIPL.wgt.RDat	MLXIPL	7	7.3e+07	7.3e+07	7:71874885..73334602	5.18458	2.17e-07	3.80517063733916	0.122239937325055	TRUE	HDL
NULL	NULL.7:71874885..73334602	7	0	0	7:71874885..73334602	0	1	0	0.816751742015546	TRUE	HDL
INTERCEPT	INTERCEPT.7:130422414..132805848	7	0	0	7:130422414..132805848	-0.938928003735449	0.347767710250926	0	0	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Thyroid/GTEx.Thyroid.ENSG00000128585.13.MKLN1.wgt.RDat	MKLN1	7	1.31e+08	1.31e+08	7:130422414..132805848	-0.60511	0.545	0.444270491553013	0.000191550671366519	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.MIR29B1.wgt.RDat	MIR29B1	7	1.31e+08	1.31e+08	7:130422414..132805848	1.69781	0.0895	1.38796345498349	0.00022048406922043	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Thyroid/GTEx.Thyroid.ENSG00000273489.1.RP11-180C16.1.wgt.RDat	RP11-180C16.1	7	1.31e+08	1.31e+08	7:130422414..132805848	1.48268	0.138	1.14174244234255	0.000220720375150886	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Subcutaneous/GTEx.Adipose_Subcutaneous.ENSG00000236753.1.MKLN1-AS2.wgt.RDat	MKLN1-AS2	7	1.31e+08	1.31e+08	7:130422414..132805848	-0.079665	0.937	0.170603447961028	0.000231543425027112	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Esophagus_Gastroesophageal_Junction/GTEx.Esophagus_Gastroesophageal_Junction.ENSG00000221866.5.PLXNA4.wgt.RDat	PLXNA4	7	1.32e+08	1.32e+08	7:130422414..132805848	-0.88178	0.378	0.967362924152021	0.00025246608370161	FALSE	HDL
NULL	NULL.7:130422414..132805848	7	0	0	7:130422414..132805848	0	1	0	0.081552578038985	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.RP11-138A9.1.wgt.RDat	RP11-138A9.1	7	1.31e+08	1.31e+08	7:130422414..132805848	5.13682	2.79e-07	4.83078723109406	0.918373019045149	TRUE	HDL
INTERCEPT	INTERCEPT.8:19492840..20060856	8	0	0	8:19492840..20060856	2.1790022507992	0.0293315010100317	0	0	FALSE	HDL
NULL	NULL.8:19492840..20060856	8	0	0	8:19492840..20060856	0	1	0	4.20497904888719e-09	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/YFS.BLOOD.RNAARR/YFS.LPL.wgt.RDat	LPL	8	19800000	19800000	8:19492840..20060856	18.77284	1.26e-78	4.41229937924985	0.999033916888421	TRUE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.INTS10.wgt.RDat	INTS10	8	19700000	19700000	8:19492840..20060856	3.02399	0.00249	-6.59042027858534	0.99999998879224	TRUE	HDL
INTERCEPT	INTERCEPT.11:58780549..62223771	11	0	0	11:58780549..62223771	-2.91088881068795	0.00360402246113969	0	0	FALSE	HDL
NULL	NULL.11:58780549..62223771	11	0	0	11:58780549..62223771	0	1	0	2.3450857768612e-10	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/YFS.BLOOD.RNAARR/YFS.AHNAK.wgt.RDat	AHNAK	11	62200000	62200000	11:58780549..62223771	0.0903	0.928	-0.645197127661902	0.000165109559813099	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Esophagus_Muscularis/GTEx.Esophagus_Muscularis.ENSG00000013725.10.CD6.wgt.RDat	CD6	11	60700000	60700000	11:58780549..62223771	-0.432368	0.665	0.288748916971839	0.000169400552660201	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Colon_Transverse/GTEx.Colon_Transverse.ENSG00000255118.1.RP11-703H8.7.wgt.RDat	RP11-703H8.7	11	62100000	62100000	11:58780549..62223771	0.0756	0.94	0.543690867378688	0.000174415246736156	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.MYRF.wgt.RDat	MYRF	11	61500000	61500000	11:58780549..62223771	-2.205	0.0275	-2.07601286697439	0.000179672441972215	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Esophagus_Mucosa/GTEx.Esophagus_Mucosa.ENSG00000256813.1.RP11-804A23.4.wgt.RDat	RP11-804A23.4	11	60600000	60600000	11:58780549..62223771	-0.03633	0.971	0.880288429559883	0.000191373470263678	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Testis/GTEx.Testis.ENSG00000255126.1.CTD-2531D15.5.wgt.RDat	CTD-2531D15.5	11	62200000	62200000	11:58780549..62223771	0.3276	0.743	0.682308985679418	0.000195402164184796	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Subcutaneous/GTEx.Adipose_Subcutaneous.ENSG00000167987.6.VPS37C.wgt.RDat	VPS37C	11	60900000	60900000	11:58780549..62223771	-0.4823	0.63	-0.77563161644914	0.000195835275859456	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.DDB1.wgt.RDat	DDB1	11	61100000	61100000	11:58780549..62223771	-0.15462	0.877	0.356676944663524	0.000210319493014043	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Subcutaneous/GTEx.Adipose_Subcutaneous.ENSG00000166927.8.MS4A7.wgt.RDat	MS4A7	11	60200000	60200000	11:58780549..62223771	-0.0455	0.964	-1.29766955545329	0.000213076533551576	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Uterus/GTEx.Uterus.ENSG00000162148.6.PPP1R32.wgt.RDat	PPP1R32	11	61200000	61200000	11:58780549..62223771	-5.7178	1.08e-08	-5.00988223992449	0.000224606640215473	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/NTR.BLOOD.RNAARR/NTR.ASRGL1.wgt.RDat	ASRGL1	11	62100000	62100000	11:58780549..62223771	0.30839	0.758	0.97818915908202	0.00025025814056082	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/YFS.BLOOD.RNAARR/YFS.SLC15A3.wgt.RDat	SLC15A3	11	60700000	60700000	11:58780549..62223771	-1.08982	0.276	-0.675294574270811	0.000261702552978473	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.INCENP.wgt.RDat	INCENP	11	61900000	61900000	11:58780549..62223771	-0.98536	0.324	0.10396956336447	0.000261924840912243	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/CMC.BRAIN.RNASEQ/CMC.TMEM132A.wgt.RDat	TMEM132A	11	60700000	60700000	11:58780549..62223771	0.36249	0.717	0.851734582239984	0.000262627131199115	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.AP003733.1.wgt.RDat	AP003733.1	11	61700000	61700000	11:58780549..62223771	-1.53221	0.125	-0.670840735538685	0.000293205685905819	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/YFS.BLOOD.RNAARR/YFS.CCDC86.wgt.RDat	CCDC86	11	60600000	60600000	11:58780549..62223771	-0.21461	0.83	-0.900619402092096	0.000295906959719487	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.FADS2.wgt.RDat	FADS2	11	61600000	61600000	11:58780549..62223771	-3.86224	0.000112	-3.46112000496605	0.000298230338126019	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Nerve_Tibial/GTEx.Nerve_Tibial.ENSG00000134780.5.DAGLA.wgt.RDat	DAGLA	11	61400000	61400000	11:58780549..62223771	-1.174372	0.24	-1.14640610058596	0.000307993275925266	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/YFS.BLOOD.RNAARR/YFS.MS4A6A.wgt.RDat	MS4A6A	11	59900000	59900000	11:58780549..62223771	-0.3803	0.704	-1.28609067688102	0.000314809439511486	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.BEST1.wgt.RDat	BEST1	11	61700000	61700000	11:58780549..62223771	-0.01764	0.986	0.960194826812045	0.000315384716190642	FALSE	HDL
